,headline,url,publisher,date,stock
36,"How to Time the Markets Like an Investing Pro - February 20, 2020",http://www.zacks.com/stock/news/775137/how-to-time-the-markets-like-an-investing-pro-february-20-2020?cid=CS-BENZ-FT-retirement_ideas|market_timing_secrets-775137,Zacks,2020-02-20 00:00:00,A
37,Stock Chart Breakdown Alert: Agilent Tech (A),https://talkmarkets.com/content/stock-chart-breakdown-alert-agilent-tech-a?post=251694,TalkMarkets,2020-02-19 00:00:00,A
38,"Agilent (A) Q1 Earnings In Line With Estimates, Revenues Top",http://www.zacks.com/stock/news/772907/agilent-a-q1-earnings-in-line-with-estimates-revenues-top?cid=CS-BENZ-FT-analyst_blog|earnings_article-772907,Zacks,2020-02-19 00:00:00,A
39,Bill Ackman's Pershing Square: 4th-Quarter Update,http://www.gurufocus.com/news/1042860/bill-ackmans-pershing-square-4thquarter-update,GuruFocus,2020-02-18 00:00:00,A
40,"GoDaddy (GDDY) Q4 Earnings Miss Estimates, Revenues Beat",http://www.zacks.com/stock/news/771320/godaddy-gddy-q4-earnings-miss-estimates-revenues-beat?cid=CS-BENZ-FT-analyst_blog|earnings_article-771320,Zacks,2020-02-18 00:00:00,A
41,"Wunderlich Capital Managemnt Buys ServiceNow Inc, Truist Financial Corp, Agilent Technologies ...",http://www.gurufocus.com/news/1041634/wunderlich-capital-managemnt-buys-servicenow-inc-truist-financial-corp-agilent-technologies-inc-sells-suntrust-banks-inc-diamondback-energy-inc,GuruFocus,2020-02-17 00:00:00,A
42,"Napier Park Global Capital LLC Buys Invesco Senior Loan, Agilent Technologies Inc, Lowe's Inc, ...",http://www.gurufocus.com/news/1038789/napier-park-global-capital-llc-buys-invesco-senior-loan-agilent-technologies-inc-lowes-inc-sells-ishares-iboxx--investment-grade-corporate-bond-nrg-energy-inc-ceridian-hcm-holding-inc,GuruFocus,2020-02-14 00:00:00,A
43,Stock Upgrades: Agilent Technologies Shows Rising Relative Strength,http://www.investors.com/ibd-data-stories/stock-upgrades-agilent-technologies-shows-rising-relative-strength-4/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2020-02-13 00:00:00,A
44,Applied Materials (AMAT) Q1 Earnings & Sales Top Estimates,http://www.zacks.com/stock/news/763708/applied-materials-amat-q1-earnings-sales-top-estimates?cid=CS-BENZ-FT-analyst_blog|earnings_article-763708,Zacks,2020-02-13 00:00:00,A
45,"Stonehage Fleming Financial Services Holdings Ltd Buys Autoliv Inc, Walmart Inc, Uber ...",http://www.gurufocus.com/news/1037232/stonehage-fleming-financial-services-holdings-ltd-buys-autoliv-inc-walmart-inc-uber-technologies-inc-sells-ishares-msci-emerging-markets-etf-edwards-lifesciences-corp-altria-group-inc,GuruFocus,2020-02-13 00:00:00,A
46,"Clearfield Capital Management Lp Buys Insperity Inc, Square Inc, Agilent Technologies Inc, ...",http://www.gurufocus.com/news/1036898/clearfield-capital-management-lp-buys-insperity-inc-square-inc-agilent-technologies-inc-sells-l3harris-technologies-inc-equifax-inc-liberty-formula-one-group,GuruFocus,2020-02-12 00:00:00,A
47,Agilent (A) Gears Up for Q1 Earnings: What's in the Cards?,http://www.zacks.com/stock/news/761933/agilent-a-gears-up-for-q1-earnings-whats-in-the-cards?cid=CS-BENZ-FT-analyst_blog|earnings_preview-761933,Zacks,2020-02-12 00:00:00,A
48,"Troy Asset Management Ltd Buys Agilent Technologies Inc, Mastercard Inc, Cisco Systems Inc, ...",http://www.gurufocus.com/news/1035886/troy-asset-management-ltd-buys-agilent-technologies-inc-mastercard-inc-cisco-systems-inc-sells-ebay-inc,GuruFocus,2020-02-11 00:00:00,A
49,Can Strong Cloud Growth Propel Alibaba's (BABA) Q3 Earnings?,http://www.zacks.com/stock/news/759889/can-strong-cloud-growth-propel-alibabas-baba-q3-earnings?cid=CS-BENZ-FT-analyst_blog|earnings_preview-759889,Zacks,2020-02-11 00:00:00,A
